Line 1 prediction: class 1, actual: class 1
Line 2 prediction: class 0, actual: class 0
Line 3 prediction: class 0, actual: class 0
Line 4 prediction: class 1, actual: class 1
Line 5 prediction: class 0, actual: class 0
Line 6 prediction: class 0, actual: class 0
Line 7 prediction: class 0, actual: class 1
Line 8 prediction: class 0, actual: class 0
Line 9 prediction: class 0, actual: class 1
Line 10 prediction: class 0, actual: class 0
Line 11 prediction: class 0, actual: class 0
Line 12 prediction: class 1, actual: class 1
Line 13 prediction: class 1, actual: class 1
Line 14 prediction: class 0, actual: class 0
Line 15 prediction: class 1, actual: class 1
Line 16 prediction: class 0, actual: class 0
Line 17 prediction: class 0, actual: class 1
Line 18 prediction: class 0, actual: class 0
Line 19 prediction: class 0, actual: class 0
Line 20 prediction: class 0, actual: class 0
Line 21 prediction: class 0, actual: class 0
Line 22 prediction: class 1, actual: class 1
Line 23 prediction: class 0, actual: class 0
Line 24 prediction: class 0, actual: class 0
Line 25 prediction: class 0, actual: class 0
Line 26 prediction: class 1, actual: class 1
Line 27 prediction: class 0, actual: class 0
Line 28 prediction: class 0, actual: class 0
Line 29 prediction: class 0, actual: class 0
Line 30 prediction: class 0, actual: class 0
Line 31 prediction: class 0, actual: class 0
Line 32 prediction: class 0, actual: class 1
Line 33 prediction: class 0, actual: class 0
Line 34 prediction: class 1, actual: class 0
Line 35 prediction: class 0, actual: class 0
Line 36 prediction: class 0, actual: class 0
Line 37 prediction: class 0, actual: class 0
Line 38 prediction: class 0, actual: class 0
Line 39 prediction: class 1, actual: class 1
Line 40 prediction: class 0, actual: class 0
Line 41 prediction: class 1, actual: class 1
Line 42 prediction: class 0, actual: class 0
Line 43 prediction: class 0, actual: class 0
Line 44 prediction: class 0, actual: class 1
Line 45 prediction: class 0, actual: class 0
Line 46 prediction: class 0, actual: class 0
Line 47 prediction: class 0, actual: class 1
Line 48 prediction: class 1, actual: class 1
Line 49 prediction: class 0, actual: class 1
Line 50 prediction: class 0, actual: class 0
Line 51 prediction: class 0, actual: class 0
Line 52 prediction: class 0, actual: class 0
Line 53 prediction: class 0, actual: class 1
Line 54 prediction: class 0, actual: class 0
Line 55 prediction: class 0, actual: class 1
Line 56 prediction: class 0, actual: class 0
Line 57 prediction: class 1, actual: class 1
Line 58 prediction: class 0, actual: class 0
Line 59 prediction: class 0, actual: class 0
Line 60 prediction: class 1, actual: class 1
Line 61 prediction: class 0, actual: class 0
Line 62 prediction: class 0, actual: class 1
Line 63 prediction: class 0, actual: class 0
Line 64 prediction: class 0, actual: class 0
Line 65 prediction: class 0, actual: class 1
Line 66 prediction: class 1, actual: class 1
Line 67 prediction: class 1, actual: class 1
Line 68 prediction: class 0, actual: class 0
Line 69 prediction: class 1, actual: class 1
Line 70 prediction: class 1, actual: class 0
Line 71 prediction: class 0, actual: class 0
Line 72 prediction: class 1, actual: class 1
Line 73 prediction: class 0, actual: class 0
Line 74 prediction: class 0, actual: class 1
Line 75 prediction: class 0, actual: class 0
Line 76 prediction: class 1, actual: class 1
Line 77 prediction: class 0, actual: class 0
Line 78 prediction: class 0, actual: class 0
Line 79 prediction: class 0, actual: class 0
Line 80 prediction: class 0, actual: class 1
Line 81 prediction: class 0, actual: class 0
Line 82 prediction: class 1, actual: class 1
Line 83 prediction: class 0, actual: class 0
Line 84 prediction: class 0, actual: class 0
Line 85 prediction: class 0, actual: class 0
Line 86 prediction: class 0, actual: class 0
